Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
9069;Dorfen (W);9;BY;A;94;;AS Dorfen;O;AS Lengdorf;W;732328,500;5349430,000
9070;Dorfen (O);9;BY;A;94;;AS Schwindegg;O;AS Dorfen;W;738037,000;5349345,500
9071;Tunnel Füssen;9;BY;A;7;;AS Füssen (B310);N; Bundesgrenze (A);S;624792,000;5269611,500
9072;Tunnel Reinertshof;9;BY;A;7;;AS Nesselwang;N;AS Füssen;S;624429,000;5273768,500
9073;Windischeschenbach (S);9;BY;A;93;;AS Windischeschenbach;N;AS Neustadt a.d. Waldnaab;S;727726,000;5519176,500
9074;AK Regensburg (W);9;BY;A;3;;AS Sinzing;N;AK Kreuz Regensburg (A93);S;721651,324;5431394,573
9075;AK Deggendorf (O);9;BY;A;92;;AS Deggendorf-Mitte;O;AK Kreuz Deggendorf (A3);W;789504,500;5415370,500
9076;Regensburg-Ost (O);9;BY;A;3;;AS Regensburg-Ost;N;AS Neutraubling;S;731936,456;5432370,024
9077;Rosenhof (W);9;BY;A;3;;AS Neutraubling;N;AS Rosenhof;S;735916,979;5431647,086
9078;Greifenberg (O);9;BY;A;96;;AS Inning a. Ammersee;O;AS Greifenberg;W;657008,500;5326877,500
9079;Wörthsee (W);9;BY;A;96;;AS Wörthsee;O;AS Inning a. Ammersee;W;664934,000;5328292,000
9080;AK Regensburg (O);9;BY;A;3;;AK Kreuz Regensburg (A93);N;AS Regensburg-Universität;S;724964,705;5431021,530
9081;Nittendorf (W);9;BY;A;3;;AS Laaber;N;AS Nittendorf;S;714560,799;5435573,064
9082;München-Perlach (S);9;BY;A;8;;AS Neubiberg;O;AS München-Perlach;W;694583,000;5330708,000
9083;Tunnel Neubiberg;9;BY;A;8;;AS Unterhaching-Ost;O;AS Neubiberg;W;695609,000;5327749,000
9084;AS Waltenhofen (O);9;BY;A;980;;AS Durach;O;AS Waltenhofen;W;598685,500;5281693,000
9085;Pocking (O);9;BY;A;3;;AS Pocking;N;AS GÜG Suben;S;825903,953;5372116,186
9087;AK Oberpfälzer Wald (S);9;BY;A;93;;AK Kreuz Oberpfälzer Wald (A6);N;AS Pfreimd;S;730268,307;5488506,079
9088;AK Oberpfälzer Wald (O);9;BY;A;6;;AS Wernberg-Ost;O;AK Kreuz Oberpfälzer Wald (A93);W;730145,749;5490779,718
9090;Lenting (S);9;BY;A;9;;AS Lenting;N;AS Ingolstadt-Nord;S;681050,000;5408744,500
9091;Oberpfaffenhofen (O);9;BY;A;96;;AS Gilching;O;AS Oberpfaffenhofen;W;670603,500;5329188,500
9092;Germering-Süd (W);9;BY;A;96;;AS Germering-Süd;O;AS Gilching;W;676507,500;5332016,500
9093;AK Deggendorf (W);9;BY;A;3;;AS Metten;N;AK Kreuz Deggendorf (A92);S;788427,417;5415109,442
9094;AD Hochfranken (W);9;BY;A;72;;AD Dreieck Hochfranken (A93);N;AS Hof/Töpen;S;709947,224;5585030,648
9095;AD Hochfranken (O);9;BY;A;72;;AS Pirk;N;AD Dreieck Hochfranken (A93);S;711611,633;5586122,366
9096;AD Hochfranken (S);9;BY;A;93;;AD Dreieck Hochfranken (A72);N;AS Hof-Ost;S;710730,729;5585001,226
9097;AD Allgäu (S);9;BY;A;7;;AD Dreieck Allgäu (A980);N;AS Oy-Mittelberg;S;603052,123;5281596,289
9099;Selb-West (S);9;BY;A;93;;AS Selb-West;N;AS Hochstädt;S;721396,725;5560315,809
9101;AK Bamberg (N);9;BY;A;73;;AS Breitengrüßbach-Süd (B4);N;AK Kreuz Bamberg (A70);S;637133,776;5533175,018
9106;München-Laim (W);9;BY;A;96;;AS München-Laim;O;AS München-Blumenau;W;685390,500;5333085,500
9110;AD Holledau (S);9;BY;A;9;;AD Dreieck Holledau (A93);N;AS Pfaffenhofen;S;691344,102;5378534,606
9111;Nürnberg/Fürth (N);9;BY;A;73;;AS Fürth-Poppenreuth;N;AS Nürnberg/Fürth;S;645990,225;5481930,885
9115;AK München-Nord (N);9;BY;A;9;;AS Garching-Süd;N;AK Kreuz München-Nord (A99);S;695781,500;5345888,000
9130;Leipheim (W);9;BY;A;8;;AS Leipheim;O;AK Kreuz Ulm/Elchingen (A7);W;589199,500;5366696,500
9131;Augsburg-West (W);9;BY;A;8;;AS Augsburg-West;O;AS Neusäß;W;637324,000;5364164,000
9132;Adelzhausen (W);9;BY;A;8;;AS Adelzhausen;O;AS Dasing;W;655404,500;5359858,000
9136;Landsberg a. L.-Nord (O);9;BY;A;96;;AS Landsberg a. Lech-Ost;O;AS Landsberg a. Lech-Nord;W;639974,500;5324976,000
9140;AK München-West (O);9;BY;A;8;;AS München-Obermenzing;O;AK Kreuz München-West (A99);W;681724,860;5338459,642
9141;AK München-West (W);9;BY;A;8;;AK Kreuz München-West (A99);O;AS München-Langwied;W;680242,500;5339836,500
9150;AD Starnberg (W);9;BY;A;952;;AD Dreieck Starnberg (A95);O;AS Percha;W;678689,603;5319647,263
9151;AD Starnberg (N);9;BY;A;95;;AS München-Fürstenried;N;AD Dreieck Starnberg (A952);S;680550,000;5321774,500
9152;AS Wasserlosen;9;BY;A;7;;AS Hammelburg;N;AS Wasserlosen;S;574514,803;5546760,622
9155;Feldmoching;9;BY;A;99;;AS München-Ludwigsfeld;N;AD Dreieck München-Feldmoching (A92);S;687255,815;5344116,626
9159;Würzburg-Kist;9;BY;A;3;;AS Würzburg/Kist;N;AS Würzburg-Heidingsfeld;S;564009,984;5511123,417
9161;Seeshaupt (N);9;BY;A;95;;AS Wolfratshausen;N;AS Seeshaupt;S;678544,463;5302926,440
9164;Murnau/Kochel (S);9;BY;A;95;;AS Kochel a. See;N;AS Ohlstadt;S;668189,500;5280950,000
9165;Eisfeld (S);9;BY;A;73;;AS Eisfeld-Süd (B4);N;AS Coburg (B4);S;636215,471;5582619,447
9166;Mellrichstadt (N);9;BY;A;71;;AS Rentwertshausen;N;AS Mellrichstadt;S;598827,500;5587232,000
9167;Pfersdorf;9;BY;A;71;;AS Bad Kissingen (B286);N;AS Poppenhausen;S;582182,000;5553745,500
9171;Holzkirchen (W);9;BY;A;8;;AS Holzkirchen;O;AS Hofoldinger Forst;W;701994,601;5312765,582
9180;AD Inntal (W);9;BY;A;8;;AD Dreieck Inntal (A93);O;AS Bad Aibling;W;729936,652;5300154,469
9182;AS Freising Mitte;9;BY;A;92;;AS Freising-Mitte (B301);O;AS Flughafen München;W;702122,318;5358967,288
9183;AS Freising Ost;9;BY;A;92;;AS Freising-Ost (B11a);O;AS Freising-Mitte (B301);W;703657,000;5361678,000
9184;AS Erding;9;BY;A;92;;AS Erding;O;AS Freising-Ost (B11a);W;706259,713;5363289,932
9185;AS Flughafen München;9;BY;A;92;;AS Flughafen München;O;AS Freising-Süd (B11);W;700739,022;5357407,160
9190;AD Inntal (S);9;BY;A;93;;AD Dreieck Inntal (A8);N;AS Reischenhart;S;731401,500;5298120,500
9191;Kiefersfelden (S);9;BY;A;93;;AS Kiefersfelden;N;AS GÜG Kiefersfelden-Autobahn;S;740152,500;5277461,000
9192;AS Grabenstätt;9;BY;A;8;;AS Bergen;O;AS Grabenstätt;W;767405,500;5303301,000
9193;AS Schweinbach;9;BY;A;8;;AS Traunstein/Siegsdorf (B306);O;AS Schweinbach;W;772442,500;5303684,500
9194;AS Traunstein;9;BY;A;8;;AS Neukirchen;O;AS Traunstein/Siegsdorf (B306);W;779331,089;5304224,876
9195;AS Anger;9;BY;A;8;;AS Bad Reichenhall (B20);O;AS Anger;W;792323,500;5297826,500
9203;AD Schweinf./Werneck (O);9;BY;A;70;;AS Werneck;O;AK Kreuz Schweinfurt/Werneck (A7/B26a);W;579408,590;5539264,643
9207;AD M.-Feldmoching (O);9;BY;A;99;;AD Dreieck München-Feldmoching (A92);N;AS München-Neuherberg;S;690451,458;5344702,979
9211;Aschheim/Ismaning (S);9;BY;A;99;;AS Aschheim/Ismaning;N;AS Kirchheim;S;702311,500;5340263,500
9212;AK München-Ost (N);9;BY;A;99;;AS Kirchheim b. München;N;AK Kreuz München-Ost (A94);S;704456,228;5337458,064
9213;AK München-Ost (S);9;BY;A;99;;AK Kreuz München-Ost;N;AS Haar;S;705277,071;5334846,739
9215;AK München-Nord (W);9;BY;A;99;;AS München-Neuherberg;N;AS München-Fröttmaning-Nord;S;693562,783;5344917,430
9217;AD M.-Feldmoching (N);9;BY;A;92;;AS Oberschleißheim;O;AD Dreieck München-Feldmoching (A99);W;688097,803;5346629,962
9218;Aschheim-West;9;BY;A;99;;AK Kreuz München-Nord (A9);N;AS Aschheim/Ismaning;S;697058,000;5342675,000
9219;AS Germering-Nord (N);9;BY;A;99;;AS Germering-Nord;N;AS München-Lochhausen;S;678438,645;5336380,849
9220;AK München-West (N);9;BY;A;99;;AK Kreuz München-West (A8);N;AD Dreieck München-Allach (A99);S;681159,500;5340420,000
