Dauerzaehlstellennummer;Dauerzaehlstellenname;Landesnummer;Landeskuerzel;Straßenklasse;Straßennummer;Straßennumernzusatz;Nahziel_Richtung_1;Himmelsrichtung_Richtung_1;Nahziel_Richtung_2;Himmelsrichtung_Richtung_2;Koordinaten_UTM32_E;Koordinaten_UTM32_N
5247;Elsdorf;5;NW;B;55;; Abzweig B477;O; Abzweig K43, Elsdorf;W;331076,000;5646534,500
5250;Friesenrath (S);5;NW;B;258;; Monschau;O; Aachen;W;300745,067;5618753,641
5251;Geldern (O);5;NW;B;9;; Goch;N; Kerken;S;312940,919;5709475,082
5252;Geldern (N);5;NW;B;58;; Geldern;O; Abzweig B9;W;312989,400;5709462,237
5253;AC-Vaalserquartier;5;NW;B;1;; Aachen;O; Grenze NL;W;290539,481;5628444,368
5254;Elten (B);5;NW;B;8;; Elten;O; Bundesgrenze (NL);W;303848,947;5752510,734
5255;Kranenburg;5;NW;B;9;; Bundesgrenze (NL);N; Kranenburg;S;290711,372;5744534,539
5257;Straelen 2 (Bundesstr.);5;NW;B;58;; Straelen;O; Bundesgrenze (NL);W;306922,660;5699124,175
5258;Emmerich;5;NW;B;220;; Bundesgrenze (NL);N; AS Emmerich;S;310301,480;5749627,877
5259;Heinsberg;5;NW;B;221;; Heinsberg;N; Geilenkirchen;S;297174,020;5657352,421
5261;Aachen-Bildchen;5;NW;B;264;; Aachen;O; Bundesgrenze (B);W;291481,986;5624520,867
5262;Gohr;5;NW;B;477;; Gohr;N; Nettersheim/Bützheim;S;338833,791;5666488,962
5263;Aachen-Köpfchen;5;NW;B;57;; Aachen;N; Bundesgrenze (B);S;294720,566;5624815,145
5264;Bergneustadt;5;NW;B;55;; Drolshagen;O; Bergneustadt;W;407634,131;5653302,538
5265;Düren/Kerpen;5;NW;B;264;; Golzheim;O; Merzenich;W;329134,876;5634207,382
5267;Dormagen;5;NW;B;9;; Stüttgen;N; Dormagen;S;347020,164;5665357,815
5268;Rommerskirchen;5;NW;B;477;; Rommerskirchen;N; Hückelhoven;S;338006,457;5655231,756
